Customer ID,segment,Recency,Frequency,Monetary
12346,cant_loose,530,11,372.86
12347,potential_loyalists,368,2,1323.32
12348,hibernating,439,1,222.16
12349,need_attention,408,3,2671.1400000000003
12351,new_customers,376,1,300.93
12352,potential_loyalists,376,2,343.79999999999995
12353,about_to_sleep,409,1,317.75999999999993
12355,hibernating,568,1,488.21
12356,potential_loyalists,381,3,3562.2499999999995
12357,potential_loyalists,389,2,12079.990000000002
12358,potential_loyalists,376,3,2719.01
12359,loyal_customers,426,6,2563.36
12360,champions,380,5,1590.83
12361,at_Risk,463,3,321.35
12362,hibernating,739,1,130.0
12366,hibernating,634,1,500.24
12368,hibernating,629,1,917.6999999999999
12369,need_attention,414,3,1791.1499999999999
12370,at_Risk,625,3,774.62
12371,need_attention,410,3,2179.42
12373,hibernating,625,2,763.0500000000001
12374,need_attention,422,3,2246.29
12376,potential_loyalists,390,2,503.15000000000003
12377,potential_loyalists,382,2,1798.2
12378,hibernating,563,1,1407.7
12379,about_to_sleep,423,2,767.98
12380,cant_loose,466,7,6951.49
12385,new_customers,380,1,1938.3999999999999
12386,new_customers,367,1,258.9
12387,about_to_sleep,416,1,143.94
12388,hibernating,446,2,1120.45
12389,need_attention,403,3,1433.33
12391,at_Risk,465,5,2312.5299999999997
12392,hibernating,592,1,234.75000000000003
12393,potential_loyalists,383,2,816.8500000000001
12395,champions,372,4,2048.6400000000003
12396,hibernating,675,1,931.4300000000001
12399,potential_loyalists,386,3,853.65
12400,about_to_sleep,415,1,205.25
12402,loyal_customers,393,5,1031.3000000000002
12403,hibernating,522,1,591.6600000000001
12404,hibernating,683,1,63.24
12406,potential_loyalists,400,3,2975.0599999999995
12408,potential_loyalists,386,3,1452.2199999999998
12409,loyal_customers,421,4,12346.619999999999
12410,hibernating,503,1,320.38
12411,about_to_sleep,410,1,346.9
12412,need_attention,403,3,1370.0500000000002
12413,about_to_sleep,403,1,241.35
12414,at_Risk,464,3,390.0
12415,champions,376,7,19543.84
12416,hibernating,657,1,202.56
12417,loyal_customers,411,11,3167.81
12418,need_attention,414,3,1352.62
12419,potential_loyalists,386,2,503.01
12421,about_to_sleep,416,2,291.56
12422,loyal_customers,395,14,4428.24
12423,potential_loyalists,388,2,763.08
12424,about_to_sleep,423,2,1579.0700000000006
12425,hibernating,449,1,964.2099999999999
12426,hibernating,663,1,762.4800000000002
12427,new_customers,372,1,303.5
12429,champions,366,5,3735.5099999999998
12431,champions,374,13,4370.52
12433,champions,367,5,7205.389999999999
12434,promising,382,1,297.29
12435,loyal_customers,397,4,6096.040000000001
12437,loyal_customers,396,21,7731.99
12439,hibernating,683,2,1158.18
12440,hibernating,463,2,859.1999999999999
12441,new_customers,367,1,173.55
12443,hibernating,733,1,485.31
12445,about_to_sleep,421,1,301.58000000000004
12449,about_to_sleep,411,2,768.6
12450,potential_loyalists,400,3,490.32
12451,at_Risk,464,3,3634.3599999999997
12454,loyal_customers,396,4,13151.439999999999
12455,at_Risk,446,4,3413.09
12457,about_to_sleep,436,1,632.68
12458,about_to_sleep,428,2,830.09
12459,hibernating,606,1,454.3599999999999
12460,hibernating,457,1,326.65
12466,hibernating,683,1,56.73
12467,about_to_sleep,424,1,132.8
12468,at_Risk,527,3,2941.2
12469,hibernating,523,2,3070.54
12470,hibernating,690,1,211.95
12471,champions,375,49,20139.739999999998
12472,champions,370,13,11308.48
12474,champions,379,13,5048.66
12475,about_to_sleep,410,1,426.26
12476,loyal_customers,397,12,7298.99
12477,potential_loyalists,400,3,7056.629999999999
12480,potential_loyalists,400,3,2183.2200000000003
12481,champions,366,6,6765.07
12482,cant_loose,577,29,23691.4
12483,champions,379,11,2635.6000000000004
12484,at_Risk,484,6,1828.4299999999998
12485,hibernating,530,1,708.1000000000001
12486,about_to_sleep,432,1,1037.2800000000002
12487,hibernating,731,1,285.29999999999995
12490,champions,379,11,4405.709999999999
12492,about_to_sleep,404,1,452.00000000000006
12494,potential_loyalists,366,3,626.77
12495,hibernating,641,1,357.4
12496,hibernating,621,2,54.09
12497,potential_loyalists,401,2,5205.400000000001
